"tract","Name","Incarceration_Rate_rP_gP_p50"
24033802106,"Suitland-Silver Hill, MD",0.0405
11001007903,"Kingman Park, Washington, DC",0.0404
11001009906,"Marshall Heights, Washington, DC",0.0402
24033801704,"Oxon Hill, MD",0.0402
11001007200,"Capitol Riverfront, Washington, DC",0.0402
11001008001,"Northeast Washington, Washington, DC",0.0399
11001007806,"Northeast Washington, Washington, DC",0.0397
51059415200,"Alexandria, VA",0.0397
11001009501,"Northeast Washington, Washington, DC",0.0397
11001009803,"Congress Heights, Washington, DC",0.0394
11001004600,"Northwest Washington, Washington, DC",0.0388
24033801808,"Hillcrest Heights, MD",0.0386
24033802501,"Suitland, Suitland-Silver Hill, MD",0.0386
11001001402,"Northwest Washington, Washington, DC",0.0378
11001006700,"Southeast Washington, Washington, DC",0.0376
11001009700,"Southeast Washington, Washington, DC",0.0376
11001009905,"Marshall Heights, Washington, DC",0.0374
24033803612,"Lanham, MD",0.0372
24033807200,"College Park, MD",0.0369
24033801408,"Fort Washington, MD",0.0369
24033801600,"Oxon Hill, MD",0.0368
11001001702,"Northwest Washington, Washington, DC",0.0364
11001009603,"Northeast Washington, Washington, DC",0.0359
24033803401,"Landover, Hyattsville, MD",0.0358
24033801807,"Hillcrest Heights, MD",0.0354
11001004400,"Northwest Washington, Washington, DC",0.0354
24033804102,"Hyattsville, MD",0.0352
24033802700,"Capitol Heights, MD",0.0349
11001007803,"Lower Central NE, Washington, DC",0.0349
11001009802,"Southeast Washington, Washington, DC",0.0349
11001003400,"Howard University, Washington, DC",0.0348
24033801701,"Temple Hills, MD",0.0343
24033803402,"Landover, Hyattsville, MD",0.0343
24033805201,"Hyattsville, MD",0.0342
24033802002,"District Heights, MD",0.0341
11001007708,"Southeast Washington, Washington, DC",0.034
51013102500,"Penrose, Arlington, VA",0.0339
11001002502,"Northwest Washington, Washington, DC",0.0338
51013103100,"Nauck, Arlington, VA",0.0336
11001007703,"Fort Dupont, Washington, DC",0.0336
24033803200,"Hyattsville, MD",0.0335
11001009201,"Edgewood, Washington, DC",0.0333
24031705702,"Bethesda, MD",0.0333
11001002202,"Northwest Washington, Washington, DC",0.0332
11001009902,"Southeast Washington, Washington, DC",0.0332
11001001803,"Brightwood, Washington, DC",0.0328
24033801802,"Temple Hills, MD",0.0324
11001002301,"Northwest Washington, Washington, DC",0.0323
11001009907,"Southeast Washington, Washington, DC",0.0322
24033802901,"Capitol Heights, MD",0.0318
11001007804,"Lincoln Heights, Washington, DC",0.0316
11001009503,"Northeast Washington, Washington, DC",0.0313
51013100800,"High View Park, Arlington, VA",0.0309
24033802805,"Pepper Mill Village, Capitol Heights, MD",0.0307
24033802408,"Capitol Heights, MD",0.0307
51510201202,"Potomac West, Alexandria, VA",0.0307
11001009811,"Southeast Washington, Washington, DC",0.0306
11001001301,"Northwest Washington, Washington, DC",0.0306
11001004201,"Northwest Washington, Washington, DC",0.0305
11001009807,"Bellevue, Washington, DC",0.0304
24033801211,"Clinton, MD",0.0304
24033803508,"Glenarden, MD",0.0298
24033803100,"Capitol Heights, MD",0.0295
51510201204,"Del Ray, Alexandria, VA",0.0291
11001000902,"Northwest Washington, Washington, DC",0.029
24033802803,"Capitol Heights, MD",0.029
11001008402,"Northeast Washington, Washington, DC",0.0286
11001007408,"Southeast Washington, Washington, DC",0.0286
11001009904,"Marshall Heights, Washington, DC",0.0286
24033805909,"Hyattsville, MD",0.0285
11001011100,"Northeast Washington, Washington, DC",0.0284
24033802405,"Suitland, Suitland-Silver Hill, MD",0.0284
24033801405,"Oxon Hill, MD",0.0282
24033801907,"Suitland, Suitland-Silver Hill, MD",0.0281
11001003100,"Northwest Washington, Washington, DC",0.0281
24031701900,"Takoma Park, MD",0.0281
11001006801,"Hill East, Washington, DC",0.0278
11001009601,"Kenilworth, Washington, DC",0.0276
51013100100,"Arlington, VA",0.0275
11001007605,"Fairlawn, Washington, DC",0.0275
11001010500,"Southwest Washington, Washington, DC",0.0275
11001009508,"Northeast Washington, Washington, DC",0.0273
24033801804,"Temple Hills, MD",0.0273
51013103501,"Arlington Ridge, Arlington, VA",0.0272
24033802107,"District Heights, MD",0.0267
51013101601,"North Highland, Arlington, VA",0.0266
11001002400,"Northwest Washington, Washington, DC",0.0266
11001007901,"Northeast Washington, Washington, DC",0.0265
11001008701,"Eckington, Washington, DC",0.0264
24033803803,"Riverdale, Woodlawn, MD",0.0264
11001002302,"Northwest Washington, Washington, DC",0.0263
24033803001,"Capitol Heights, MD",0.026
11001004202,"Northwest Washington, Washington, DC",0.0259
24033801702,"Temple Hills, MD",0.0258
11001008002,"Northeast Washington, Washington, DC",0.0257
11001009504,"Michigan Park, Washington, DC",0.0256
51013103602,"Aurora Highlands, Arlington, VA",0.0254
24033801407,"Fort Washington, MD",0.0253
11001009901,"Penn Branch, Washington, DC",0.0253
24033803900,"Hyattsville, MD",0.0249
24033801908,"Suitland, Suitland-Silver Hill, MD",0.0248
