"tract","Name","Incarceration_Rate_rP_gP_p75"
11001004802,"Northwest Washington, Washington, DC",0.0808
11001007401,"Barry Farm, Washington, DC",0.0779
11001007407,"Barry Farm, Washington, DC",0.077
11001009804,"Southeast Washington, Washington, DC",0.0739
11001004901,"Northwest Washington, Washington, DC",0.0717
11001009810,"Southeast Washington, Washington, DC",0.0684
11001008802,"Northeast Washington, Washington, DC",0.0671
11001005900,"Northwest Washington, Washington, DC",0.0664
11001007406,"Southeast Washington, Washington, DC",0.0653
11001003500,"Northwest Washington, Washington, DC",0.0652
11001008702,"Eckington, Washington, DC",0.0628
11001004701,"Northwest Washington, Washington, DC",0.0613
11001010900,"Southwest Washington, Washington, DC",0.0602
11001006900,"Southeast Washington, Washington, DC",0.0527
11001003600,"Columbia Heights, Washington, DC",0.052
24033803002,"Capitol Heights, MD",0.0519
11001008803,"Northeast Washington, Washington, DC",0.0467
11001009604,"Northeast Washington, Washington, DC",0.0454
11001006802,"Barney Circle, Washington, DC",0.0451
24033803300,"Hyattsville, MD",0.0449
11001007903,"Kingman Park, Washington, DC",0.0449
11001009602,"Mayfair, Washington, DC",0.0446
11001009203,"Northeast Washington, Washington, DC",0.0435
24033802407,"District Heights, MD",0.0435
11001009400,"Northeast Washington, Washington, DC",0.0427
11001009803,"Congress Heights, Washington, DC",0.0419
11001004801,"Northwest Washington, Washington, DC",0.0411
24033804802,"Mount Rainier, MD",0.0408
11001004600,"Northwest Washington, Washington, DC",0.0404
11001003000,"Columbia Heights, Washington, DC",0.0398
24033801707,"Oxon Hill, MD",0.0394
11001008903,"Carver / Langston, Washington, DC",0.0391
11001001702,"Northwest Washington, Washington, DC",0.0383
11001001803,"Brightwood, Washington, DC",0.0377
11001007502,"Southeast Washington, Washington, DC",0.0376
11001009903,"Southeast Washington, Washington, DC",0.0375
11001002102,"Northwest Washington, Washington, DC",0.0367
11001009801,"Southeast Washington, Washington, DC",0.0357
11001009906,"Marshall Heights, Washington, DC",0.0356
11001009201,"Edgewood, Washington, DC",0.0353
24033801801,"Temple Hills, MD",0.0349
11001003301,"Bloomingdale, Washington, DC",0.0344
11001006400,"Southwest Washington, Washington, DC",0.0341
11001009503,"Northeast Washington, Washington, DC",0.0339
24031701900,"Takoma Park, MD",0.033
11001007806,"Northeast Washington, Washington, DC",0.0328
11001002502,"Northwest Washington, Washington, DC",0.0327
24033802106,"Suitland-Silver Hill, MD",0.032
51013101602,"Colonial Village, Arlington, VA",0.0319
24033804102,"Hyattsville, MD",0.0318
11001009905,"Marshall Heights, Washington, DC",0.0313
24033803524,"Hyattsville, MD",0.0311
24033803402,"Landover, Hyattsville, MD",0.0308
24033801704,"Oxon Hill, MD",0.0303
11001002400,"Northwest Washington, Washington, DC",0.0303
24033805909,"Hyattsville, MD",0.03
24033805201,"Hyattsville, MD",0.0296
11001009807,"Bellevue, Washington, DC",0.0294
24033801701,"Temple Hills, MD",0.0294
11001001902,"Manor Park, Washington, DC",0.0294
11001010400,"Southeast Washington, Washington, DC",0.0293
11001009501,"Northeast Washington, Washington, DC",0.0292
11001004202,"Northwest Washington, Washington, DC",0.0291
51510201202,"Potomac West, Alexandria, VA",0.0282
11001007601,"Southeast Washington, Washington, DC",0.0281
11001003400,"Howard University, Washington, DC",0.0277
24033802700,"Capitol Heights, MD",0.0273
11001007803,"Lower Central NE, Washington, DC",0.027
24033802301,"District Heights, MD",0.0269
11001007200,"Capitol Riverfront, Washington, DC",0.0268
11001008001,"Northeast Washington, Washington, DC",0.0267
11001007703,"Fort Dupont, Washington, DC",0.0267
24033802901,"Capitol Heights, MD",0.0266
24033801804,"Temple Hills, MD",0.0265
11001004400,"Northwest Washington, Washington, DC",0.0263
24033803612,"Lanham, MD",0.026
24033803200,"Hyattsville, MD",0.0257
24033805602,"Hyattsville, MD",0.0255
24033802002,"District Heights, MD",0.0253
24033801807,"Hillcrest Heights, MD",0.0245
11001003302,"Bloomingdale, Washington, DC",0.0244
24033803519,"Landover, Hyattsville, MD",0.0244
11001009700,"Southeast Washington, Washington, DC",0.0243
51510202002,"Old Town, Alexandria, VA",0.0242
11001009907,"Southeast Washington, Washington, DC",0.0242
24033801802,"Temple Hills, MD",0.0238
11001009508,"Northeast Washington, Washington, DC",0.0237
24033801808,"Hillcrest Heights, MD",0.0235
24033802805,"Pepper Mill Village, Capitol Heights, MD",0.0234
24033803900,"Hyattsville, MD",0.0233
51510200103,"Alexandria West, Alexandria, VA",0.0231
24033801405,"Oxon Hill, MD",0.0229
24033803803,"Riverdale, Woodlawn, MD",0.0226
11001004201,"Northwest Washington, Washington, DC",0.0224
11001003100,"Northwest Washington, Washington, DC",0.0224
24033803508,"Glenarden, MD",0.0221
24033801214,"Clinton, MD",0.0217
24033802501,"Suitland, Suitland-Silver Hill, MD",0.0217
11001005002,"Downtown, Washington, DC",0.0216
11001009601,"Kenilworth, Washington, DC",0.0216
24033802404,"District Heights, MD",0.0215
51510200701,"Eisenhower West, Alexandria, VA",0.0215
11001009902,"Southeast Washington, Washington, DC",0.0214
24033802502,"Capitol Heights, MD",0.0211
24033803601,"Springdale, MD",0.0209
24033801409,"Fort Washington, MD",0.0208
24033803401,"Landover, Hyattsville, MD",0.0207
51013103501,"Arlington Ridge, Arlington, VA",0.0207
11001002301,"Northwest Washington, Washington, DC",0.0206
11001009603,"Northeast Washington, Washington, DC",0.0206
11001007503,"Historic Anacostia, Washington, DC",0.0202
11001009904,"Marshall Heights, Washington, DC",0.0202
51510201900,"Old Town, Alexandria, VA",0.0201
11001007605,"Fairlawn, Washington, DC",0.02
51510201204,"Del Ray, Alexandria, VA",0.0195
11001010500,"Southwest Washington, Washington, DC",0.0195
