"tract","Name","Incarceration_Rate_rP_gP_p25"
24033807200,"College Park, MD",0.1459
11001006600,"Capitol Hill, Washington, DC",0.1244
11001004801,"Northwest Washington, Washington, DC",0.1121
51059415200,"Alexandria, VA",0.111
11001003302,"Bloomingdale, Washington, DC",0.1068
51013101601,"North Highland, Arlington, VA",0.1053
11001003301,"Bloomingdale, Washington, DC",0.1052
11001010900,"Southwest Washington, Washington, DC",0.1039
11001001402,"Northwest Washington, Washington, DC",0.095
51013100800,"High View Park, Arlington, VA",0.0924
11001006700,"Southeast Washington, Washington, DC",0.0904
11001007401,"Barry Farm, Washington, DC",0.0889
11001008802,"Northeast Washington, Washington, DC",0.0852
11001007407,"Barry Farm, Washington, DC",0.0839
11001008803,"Northeast Washington, Washington, DC",0.0837
11001008402,"Northeast Washington, Washington, DC",0.0829
51013102500,"Penrose, Arlington, VA",0.0828
11001004901,"Northwest Washington, Washington, DC",0.0822
51510200701,"Eisenhower West, Alexandria, VA",0.0821
24033803524,"Hyattsville, MD",0.0819
11001004702,"Northwest Washington, Washington, DC",0.0816
11001007502,"Southeast Washington, Washington, DC",0.0815
24033802301,"District Heights, MD",0.0802
11001007601,"Southeast Washington, Washington, DC",0.0794
24033801600,"Oxon Hill, MD",0.079
11001009000,"Fort Lincoln, Washington, DC",0.0785
11001010400,"Southeast Washington, Washington, DC",0.0769
51013100100,"Arlington, VA",0.076
11001009810,"Southeast Washington, Washington, DC",0.0752
24031705702,"Bethesda, MD",0.0747
11001006900,"Southeast Washington, Washington, DC",0.0743
11001002202,"Northwest Washington, Washington, DC",0.0737
24033802501,"Suitland, Suitland-Silver Hill, MD",0.0733
11001006801,"Hill East, Washington, DC",0.0732
24033801408,"Fort Washington, MD",0.073
11001009204,"Edgewood, Washington, DC",0.0705
24033801808,"Hillcrest Heights, MD",0.0698
51013103100,"Nauck, Arlington, VA",0.0694
11001009802,"Southeast Washington, Washington, DC",0.0692
11001009301,"Northeast Washington, Washington, DC",0.0691
11001007200,"Capitol Riverfront, Washington, DC",0.0679
11001007406,"Southeast Washington, Washington, DC",0.0677
11001009603,"Northeast Washington, Washington, DC",0.0674
11001008001,"Northeast Washington, Washington, DC",0.0671
11001006400,"Southwest Washington, Washington, DC",0.0669
24033803401,"Landover, Hyattsville, MD",0.0669
11001009604,"Northeast Washington, Washington, DC",0.0658
51013103602,"Aurora Highlands, Arlington, VA",0.0655
11001007708,"Southeast Washington, Washington, DC",0.0654
11001009700,"Southeast Washington, Washington, DC",0.065
11001004701,"Northwest Washington, Washington, DC",0.0649
11001005900,"Northwest Washington, Washington, DC",0.0626
51013101801,"Court House, Arlington, VA",0.0621
11001007408,"Southeast Washington, Washington, DC",0.0618
11001009811,"Southeast Washington, Washington, DC",0.0617
24033802408,"Capitol Heights, MD",0.0615
11001009501,"Northeast Washington, Washington, DC",0.0615
24033801704,"Oxon Hill, MD",0.0605
11001007901,"Northeast Washington, Washington, DC",0.0603
24033803612,"Lanham, MD",0.0603
11001001301,"Northwest Washington, Washington, DC",0.06
11001002302,"Northwest Washington, Washington, DC",0.0598
24033803300,"Hyattsville, MD",0.0587
24033801907,"Suitland, Suitland-Silver Hill, MD",0.0584
24033802106,"Suitland-Silver Hill, MD",0.0581
24033801904,"Suitland, Camp Springs, MD",0.058
11001007804,"Lincoln Heights, Washington, DC",0.0578
24033801807,"Hillcrest Heights, MD",0.0577
24033801702,"Temple Hills, MD",0.0575
11001009902,"Southeast Washington, Washington, DC",0.0575
11001008002,"Northeast Washington, Washington, DC",0.0573
24033801211,"Clinton, MD",0.0572
11001009102,"Brentwood, Washington, DC",0.0567
11001007504,"Historic Anacostia, Washington, DC",0.0564
11001002301,"Northwest Washington, Washington, DC",0.0564
24033803100,"Capitol Heights, MD",0.0563
24033802203,"Forestville, MD",0.0551
11001000902,"Northwest Washington, Washington, DC",0.0548
11001006802,"Barney Circle, Washington, DC",0.0547
11001007304,"Congress Heights, Washington, DC",0.0545
11001007100,"Southeast Washington, Washington, DC",0.0545
24033801805,"Temple Hills, MD",0.0542
